Country,Year,Country Code,EPI
India,2022,IND,18.9
Myanmar,2022,MMR,19.4
Vietnam,2022,VNM,20.1
Afghanistan,2014,AFG,21.57
Bangladesh,2022,BGD,23.1
Vietnam,2024,VNM,24.6
Pakistan,2022,PAK,24.6
Myanmar,2020,MMR,25.1
Afghanistan,2020,AFG,25.5
Pakistan,2024,PAK,25.5
Bangladesh,2014,BGD,25.61
Myanmar,2024,MMR,27.1
Myanmar,2014,MMR,27.44
India,2020,IND,27.6
India,2024,IND,27.6
Bangladesh,2024,BGD,28.1
Indonesia,2022,IDN,28.2
Nepal,2022,NPL,28.3
China,2022,CHN,28.4
Philippines,2022,PHL,28.9
Bangladesh,2020,BGD,29
Bangladesh,2018,BGD,29.56
Mongolia,2022,MNG,29.6
Cambodia,2022,KHM,30.1
India,2018,IND,30.57
Afghanistan,2024,AFG,31
Cambodia,2024,KHM,31.2
India,2014,IND,31.23
Nepal,2018,NPL,31.44
Philippines,2024,PHL,32.1
Mongolia,2020,MNG,32.2
Nepal,2020,NPL,32.7
Pakistan,2020,PAK,33.1
Nepal,2024,NPL,33.1
Vietnam,2020,VNM,33.4
Cambodia,2020,KHM,33.6
Indonesia,2024,IDN,33.6
Pakistan,2014,PAK,34.58
Sri Lanka,2022,LKA,34.7
Malaysia,2022,MYS,35
China,2024,CHN,35.4
Cambodia,2014,KHM,35.44
Kyrgyz Republic,2022,KGZ,35.7
Nepal,2014,NPL,37
Mongolia,2024,MNG,37.2
China,2020,CHN,37.3
Afghanistan,2016,AFG,37.5
Pakistan,2018,PAK,37.5
Afghanistan,2018,AFG,37.74
Indonesia,2020,IDN,37.8
Thailand,2022,THA,38.1
Vietnam,2014,VNM,38.17
Uzbekistan,2022,UZB,38.2
Philippines,2020,PHL,38.4
Sri Lanka,2024,LKA,38.8
Sri Lanka,2020,LKA,39
Georgia,2022,GEO,39.1
Kyrgyz Republic,2020,KGZ,39.8
Kyrgyz Republic,2014,KGZ,40.63
Kazakhstan,2022,KAZ,40.9
Malaysia,2024,MYS,41
Georgia,2020,GEO,41.3
Bangladesh,2016,BGD,41.77
Uzbekistan,2024,UZB,42.6
Kyrgyz Republic,2024,KGZ,42.8
China,2014,CHN,43
Cambodia,2018,KHM,43.23
Uzbekistan,2014,UZB,43.23
Afghanistan,2022,AFG,43.6
Philippines,2014,PHL,44.02
Uzbekistan,2020,UZB,44.3
Indonesia,2014,IDN,44.36
Mongolia,2014,MNG,44.67
Kazakhstan,2020,KAZ,44.7
Myanmar,2018,MMR,45.32
Thailand,2020,THA,45.4
Thailand,2024,THA,45.7
Uzbekistan,2018,UZB,45.88
"Korea, Rep.",2022,KOR,46.9
Indonesia,2018,IDN,46.92
Vietnam,2018,VNM,46.96
Georgia,2014,GEO,47.23
Georgia,2024,GEO,47.3
Kazakhstan,2024,KAZ,47.8
Malaysia,2020,MYS,47.9
Myanmar,2016,MMR,48.98
Thailand,2018,THA,49.88
Nepal,2016,NPL,50.21
"Korea, Rep.",2024,KOR,50.6
China,2018,CHN,50.74
Singapore,2022,SGP,50.9
Kazakhstan,2014,KAZ,51.07
Cambodia,2016,KHM,51.24
Pakistan,2016,PAK,51.42
Thailand,2014,THA,52.83
Singapore,2024,SGP,53
India,2016,IND,53.58
Sri Lanka,2014,LKA,53.88
Kazakhstan,2018,KAZ,54.56
Kyrgyz Republic,2018,KGZ,54.86
Georgia,2018,GEO,55.69
New Zealand,2022,NZL,56.7
Japan,2022,JPN,57.2
New Zealand,2024,NZL,57.3
Mongolia,2018,MNG,57.51
Philippines,2018,PHL,57.65
Singapore,2020,SGP,58.1
Vietnam,2016,VNM,58.5
Malaysia,2018,MYS,59.22
Malaysia,2014,MYS,59.31
Australia,2022,AUS,60.1
Sri Lanka,2018,LKA,60.61
Japan,2024,JPN,61.4
"Korea, Rep.",2018,KOR,62.3
Australia,2024,AUS,63.1
Uzbekistan,2016,UZB,63.67
"Korea, Rep.",2014,KOR,63.79
Singapore,2018,SGP,64.23
Mongolia,2016,MNG,64.39
Georgia,2016,GEO,64.96
China,2016,CHN,65.1
Sri Lanka,2016,LKA,65.55
Indonesia,2016,IDN,65.85
"Korea, Rep.",2020,KOR,66.5
Thailand,2016,THA,69.54
"Korea, Rep.",2016,KOR,70.61
New Zealand,2020,NZL,71.3
Japan,2014,JPN,72.35
Kyrgyz Republic,2016,KGZ,73.13
Kazakhstan,2016,KAZ,73.29
Philippines,2016,PHL,73.7
Australia,2018,AUS,74.12
Malaysia,2016,MYS,74.23
Japan,2018,JPN,74.69
Australia,2020,AUS,74.9
Japan,2020,JPN,75.1
New Zealand,2018,NZL,75.96
New Zealand,2014,NZL,76.41
Japan,2016,JPN,80.59
Singapore,2014,SGP,81.78
Australia,2014,AUS,82.4
Singapore,2016,SGP,87.04
Australia,2016,AUS,87.22
New Zealand,2016,NZL,88
Eritrea,2024,ERI,29
Eritrea,2022,ERI,31.7
Eritrea,2020,ERI,30.4
Eritrea,2018,ERI,39.34
Eritrea,2016,ERI,36.73
Eritrea,2014,ERI,25.76
Madagascar,2024,MDG,30.1
Madagascar,2022,MDG,28
Madagascar,2020,MDG,26.5
Madagascar,2018,MDG,33.73
Madagascar,2016,MDG,37.1
Madagascar,2014,MDG,26.7
Iraq,2024,IRQ,30.3
Iraq,2022,IRQ,27.8
Iraq,2020,IRQ,39.5
Iraq,2018,IRQ,43.2
Iraq,2016,IRQ,63.97
Iraq,2014,IRQ,33.39
Estonia,2024,EST,75.7
Luxembourg,2024,LUX,75.1
Germany,2024,DEU,74.5
Estonia,2022,EST,61.4
Luxembourg,2022,LUX,72.3
Germany,2022,DEU,62.4
Estonia,2020,EST,65.3
Luxembourg,2020,LUX,82.3
Germany,2020,DEU,77.2
Estonia,2018,EST,64.31
Luxembourg,2018,LUX,79.12
Germany,2018,DEU,78.37
Estonia,2016,EST,88.59
Luxembourg,2016,LUX,86.58
Germany,2016,DEU,84.26
Estonia,2014,EST,74.66
Luxembourg,2014,LUX,83.29
Germany,2014,DEU,80.47